key,chara,degree,not,score,category
つっぱる,,とても,,0,1
つっぱる,,とても,ない,6,1
つっぱる,,かなり,,0,1
つっぱる,,かなり,ない,6.5,1
つっぱる,,すごく,,0,1
つっぱる,,すごく,ない,6,1
つっぱる,,少し,,2,1
つっぱる,,少し,ない,5,1
つっぱる,,若干,,2,1
つっぱる,,若干,ない,4.5,1
つっぱる,,ちょっと,,2,1
つっぱる,,ちょっと,ない,4,1
つっぱる,,,,1,1
つっぱる,,,ない,5,1
突っ張る,,とても,,0,1
突っ張る,,とても,ない,6,1
突っ張る,,かなり,,0,1
突っ張る,,かなり,ない,6.5,1
突っ張る,,すごく,,0,1
突っ張る,,すごく,ない,6,1
突っ張る,,少し,,2,1
突っ張る,,少し,ない,5,1
突っ張る,,若干,,2,1
突っ張る,,若干,ない,4.5,1
突っ張る,,ちょっと,,2,1
突っ張る,,ちょっと,ない,4,1
突っ張る,,,,1,1
突っ張る,,,ない,5,1
うるおい,物足りない,全く,,0.5,1
潤う,,全く,ない,0.5,1
潤う,,,ない,1.3,1
潤う,続く,,ない,1.5,1
潤う,,ほとんど,ない,1.5,1
潤う,奥,,ない,2,1
潤う,,あまり,ない,2.5,1
潤う,,すごく,ない,2.5,1
潤う,物足りない,若干,,2.8,1
潤う,物足りない,少し,,2.8,1
潤う,物足りない,,,2.5,1
潤う,もっちり,,ない,3,1
潤う,,ものすごく,ない,3,1
潤う,,そこそこ,,4,1
潤う,,それなり,,4,1
潤う,,ちょうど良い,,5,1
潤う,,すっきり,,4.5,1
潤う,,ほどよい,,5,1
潤う,ふっくら,,,4.5,1
潤う,戻る,,,4.5,1
潤う,さっぱり,,,4.5,1
潤う,ぺた,,,4.5,1
潤う,みずみずしい,,,4.7,1
潤う,,,,5,1
潤う,,すぐ,,5,1
潤う,もっちり,,,5,1
潤う,やわらかい,,,5,1
浸透,奥,,,5,1
潤う,持続,,,5,1
潤う,気持ちいい,,,5,1
潤う,柔らかい,,,5,1
潤う,艶,,,5,1
潤う,,きちんと,,5.5,1
潤う,,ぐいぐい,,5.5,1
潤う,,すぐ,,5.5,1
潤う,しっとり,すぐ,,5.5,1
潤う,,ちゃんと,,5.5,1
潤う,,予測以上,,5.5,1
潤う,,たっぷり,,5.5,1
潤う,内側,,,5.5,1
潤う,１日,,,5.5,1
潤う,奥,,,5.5,1
潤う,しっとり,,,5.7,1
潤う,,しっかり,,5.8,1
潤う,,とても,,6,1
潤う,つやつや,とても,,6,1
潤う,,ぐんぐん,,6,1
潤う,,充分,,6,1
潤う,,結構,,6,1
潤う,,十分,,6,1
潤う,,瞬時,,6,1
潤う,,頼もしい,,6,1
潤う,細胞の深いところ,,,6,1
潤う,奥,,,6,1
潤う,角質層,,,6,1
潤う,,かなり,,6.5,1
潤う,しっとり,かなり,,6.5,1
潤う,,とっても,,6.5,1
潤う,乳液,,,6.5,1
うるおう,,全く,ない,0.5,1
うるおう,,,ない,1.3,1
うるおう,続く,,ない,1.5,1
うるおう,,ほとんど,ない,1.5,1
うるおう,奥,,ない,2,1
うるおう,,あまり,ない,2.5,1
うるおう,,すごく,ない,2.5,1
うるおう,物足りない,若干,,2.8,1
うるおう,物足りない,少し,,2.8,1
うるおう,物足りない,,,2.5,1
うるおう,もっちり,,ない,3,1
うるおう,,ものすごく,ない,3,1
うるおう,,そこそこ,,4,1
うるおう,,それなり,,4,1
うるおう,,ちょうど良い,,5,1
うるおう,,すっきり,,4.5,1
うるおう,,ほどよい,,5,1
うるおう,ふっくら,,,4.5,1
うるおう,戻る,,,4.5,1
うるおう,さっぱり,,,4.5,1
うるおう,ぺた,,,4.5,1
うるおう,みずみずしい,,,4.7,1
うるおう,,,,5,1
うるおう,,すぐ,,5,1
うるおう,もっちり,,,5,1
うるおう,やわらかい,,,5,1
うるおう,奥,,,5,1
うるおう,持続,,,5,1
うるおう,気持ちいい,,,5,1
うるおう,柔らかい,,,5,1
うるおう,艶,,,5,1
うるおう,,きちんと,,5.5,1
うるおう,,ぐいぐい,,5.5,1
うるおう,,すぐ,,5.5,1
うるおう,しっとり,すぐ,,5.5,1
うるおう,,ちゃんと,,5.5,1
うるおう,,予測以上,,5.5,1
うるおう,,たっぷり,,5.5,1
