key,chara,degree,not,score,category
フローラル,,,,2.94,0
フローラル,一切,,ない,0,0
フローラル,一切,,なく,0,0
フローラル,弱い,,,1.50,0
フローラル,少ない,,,1.56,0
フローラル,物足りない,,,1.94,0
フローラル,軽い,,,2.06,0
フローラル,軽やか,,,2.06,0
フローラル,安っぽい,,,2.19,0
フローラル,主張,,ない,2.25,0
フローラル,主張,,なく,2.25,0
フローラル,さりげ,,ない,2.25,0
フローラル,さりげ,,なく,2.25,0
フローラル,主張,そんなに,ない,2.38,0
フローラル,主張,そんなに,なく,2.38,0
フローラル,気になる,,ない,2.50,0
フローラル,気になる,,なく,2.50,0
フローラル,優しい,,,2.88,0
フローラル,優しく,,,2.88,0
フローラル,柔らかい,,,2.94,0
フローラル,やわらかい,,,2.94,0
フローラル,癒す,,,2.94,0
フローラル,自然,,,2.94,0
フローラル,リラックス,,,3.00,0
フローラル,落ち着く,,,3.00,0
フローラル,心地よい,,,3.00,0
フローラル,心地いい,,,3.00,0
フローラル,心地良い,,,3.00,0
フローラル,気持ちよい,,,3.00,0
フローラル,気持ちいい,,,3.00,0
フローラル,気持ち良い,,,3.00,0
フローラル,いい,,,3.25,0
フローラル,良い,,,3.25,0
フローラル,良く,,,3.25,0
フローラル,上品,,,3.56,0
フローラル,優雅,,,3.63,0
フローラル,弱い,,ない,3.88,0
フローラル,弱い,,なく,3.88,0
フローラル,主張,,,3.94,0
フローラル,甘ったるい,,,5.00,0
フローラル,しっかり,,,5.19,0
フローラル,重い,,,5.44,0
フローラル,重たい,,,5.44,0
フローラル,,全く,ない,0,0
フローラル,,全く,なく,0,0
フローラル,,,ない,0.13,0
フローラル,,全然,ない,0.13,0
フローラル,,全然,なく,0.13,0
フローラル,,特に,ない,0.38,0
フローラル,,特に,なく,0.38,0
フローラル,,ほとんど,ない,0.56,0
フローラル,,ほとんど,なく,0.56,0
フローラル,,ほぼ,ない,0.56,0
フローラル,,ほぼ,なく,0.56,0
フローラル,,殆ど,ない,0.63,0
フローラル,,殆ど,なく,0.63,0
フローラル,,あまり,ない,1.25,0
フローラル,,あまり,なく,1.25,0
フローラル,,あんまり,ない,1.25,0
フローラル,,あんまり,なく,1.25,0
フローラル,,そんな,ない,1.25,0
フローラル,,そんな,なく,1.25,0
フローラル,,さほど,ない,1.25,0
フローラル,,さほど,なく,1.25,0
フローラル,,それほど,ない,1.25,0
フローラル,,それほど,なく,1.25,0
フローラル,,それほど,,1.25,0
フローラル,,かすか,,1.31,0
フローラル,,微か,,1.31,0
フローラル,,わずか,,1.31,0
フローラル,,そこまで,ない,1.38,0
フローラル,,そこまで,なく,1.38,0
フローラル,,そこまで,,1.63,0
フローラル,,ちょっと,,1.69,0
フローラル,,若干,,1.81,0
フローラル,,うっすら,,1.81,0
フローラル,,少々,,1.81,0
フローラル,,薄い,,1.94,0
フローラル,,ほのか,,1.94,0
フローラル,,ほんのり,,1.94,0
フローラル,,さりげ,ない,2.00,0
フローラル,,さりげ,なく,2.00,0
フローラル,,すこし,,2.00,0
フローラル,,少し,,2.00,0
フローラル,,軽い,,2.13,0
フローラル,,ふわっと,,2.19,0
フローラル,,フワッと,,2.19,0
